Violation Charged Code,Violation Description,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,State of License,Police Agency,Court,Source
1170B,DROVE THRU/AROUND/UNDER RR BARRIER,2019,2,WEDNESDAY,49,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37540A,INADEQUATE OR NO STOP LAMP OR LAMPS,2019,5,THURSDAY,64,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,6,MONDAY,56,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,6,MONDAY,47,M,NEW JERSEY,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
407B2,OBST INTERSEC/CRSWLK,2019,7,TUESDAY,78,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,7,TUESDAY,49,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,THURSDAY,28,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,7,FRIDAY,39,F,NEW JERSEY,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,7,SATURDAY,35,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1229C3U,NO BELT OPER TAXI,2019,6,SUNDAY,40,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,8,FRIDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,10,SATURDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1102,FAILED TO COMPLY W/LAWFUL ORDER,2019,10,SUNDAY,59,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,9,SATURDAY,26,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,9,SATURDAY,26,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,9,SATURDAY,35,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
404B,FLD YLD PED CROSSWLK,2019,9,SATURDAY,35,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
407B1,OBSTRCT TRAFF LN NYC,2019,10,SATURDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,10,SATURDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1211A,BACKING UNSAFELY,2019,10,SATURDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163AS,IMPROPER SIGNAL,2019,12,TUESDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,12,TUESDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,12,TUESDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4014,FAILURE TO PRODUCE LICENSE OR REGISTRATION DOCUMENTS,2019,11,SUNDAY,51,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,11,SUNDAY,51,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
407B1,OBSTRCT TRAFF LN NYC,2019,10,SATURDAY,67,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,9,THURSDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,6,MONDAY,49,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,6,MONDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,6,TUESDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,6,SATURDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,6,SUNDAY,18,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,6,MONDAY,49,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,6,TUESDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,6,MONDAY,49,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5092,OPERATING OUT OF CLASS,2019,6,MONDAY,49,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,6,MONDAY,39,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,7,SATURDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,6,MONDAY,39,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,7,MONDAY,40,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,7,FRIDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,7,SATURDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,7,SATURDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1229C3U,NO BELT OPER TAXI,2019,7,FRIDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,7,FRIDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37522,VISIBILITY DISTORTED BROKEN/DISCOLORED GLASS,2019,7,FRIDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,12,FRIDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,12,FRIDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1126A,DRIVING TO LEFT OF PAVEMENT MARKINGS,2019,12,FRIDAY,56,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,4,SUNDAY,33,M,NEW YORK,NYC PARK & RECREATION (PARKS),BROOKLYN NORTH TVB,TVB
1220A,THREW/DEPOSITED REFUSE/ETC HGWY,2019,1,SUNDAY,77,M,NEW YORK,NY STATE PARK POLICE DEPT,RICHMOND TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163B,INSUFF TURN SIGNAL-LESS THAN 100 FEET,2019,5,TUESDAY,56,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,MONDAY,55,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1129A,FOLLOWING TOO CLOSELY,2019,3,WEDNESDAY,63,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,49,F,NEW JERSEY,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,THURSDAY,67,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,THURSDAY,55,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,38,F,NEW JERSEY,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,33,M,NEW JERSEY,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,52,F,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,6,TUESDAY,52,F,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,6,MONDAY,52,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,43,M,NEW JERSEY,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,6,TUESDAY,43,M,NEW JERSEY,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,59,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,27,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,58,M,NEW JERSEY,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,6,TUESDAY,34,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,7,TUESDAY,43,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,7,TUESDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,7,TUESDAY,40,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,7,TUESDAY,65,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,12,FRIDAY,61,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,7,FRIDAY,31,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,THURSDAY,49,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,SUNDAY,47,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,2,SATURDAY,27,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,5,THURSDAY,48,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,5,THURSDAY,62,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SUNDAY,24,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,THURSDAY,48,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,FRIDAY,23,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,FRIDAY,23,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,5,FRIDAY,23,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,7,SATURDAY,30,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,FRIDAY,27,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1140A,FLD TO YLD RT-OF-WAY AT INTERSECTION,2019,8,THURSDAY,61,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1122A,PASSED VEHICLE ON RIGHT,2019,8,THURSDAY,61,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1102,FAILED TO COMPLY W/LAWFUL ORDER,2019,11,THURSDAY,20,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,6,SUNDAY,33,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,4,SATURDAY,24,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,3,THURSDAY,43,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,4,SUNDAY,47,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,4,SUNDAY,52,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,4,SUNDAY,47,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,5,FRIDAY,20,M,UNKNOWN,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,FRIDAY,20,M,UNKNOWN,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1163D,IMPROPER SIGNAL,2019,5,FRIDAY,20,M,UNKNOWN,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,FRIDAY,48,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,5,FRIDAY,48,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
409B1,NO HDLGTS IN USE NYC,2019,5,SATURDAY,17,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SATURDAY,41,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,6,SATURDAY,35,M,ILLINOIS,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
3752A,NO HEADLAMPS/INCLEMENT WEATHER,2019,5,FRIDAY,59,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,6,SATURDAY,55,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,6,SATURDAY,55,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,6,THURSDAY,60,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,6,SUNDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1163D,IMPROPER SIGNAL,2019,6,SUNDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,8,SATURDAY,36,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1229C1A,BACK SEAT PASS LESS THAN 4 NO/IMP RESTRAINT,2019,8,THURSDAY,27,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,8,THURSDAY,27,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1102,FAILED TO COMPLY W/LAWFUL ORDER,2019,8,THURSDAY,27,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,8,THURSDAY,31,M,NEW JERSEY,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,8,SATURDAY,20,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
5091,UNLICENSED OPERATOR,2019,10,FRIDAY,18,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,10,FRIDAY,18,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
412A1,FLD CMPLY W/ ORD-NYC,2019,9,FRIDAY,51,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,9,FRIDAY,51,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1163D,IMPROPER SIGNAL,2019,11,THURSDAY,20,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1163D,IMPROPER SIGNAL,2019,11,THURSDAY,20,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,11,THURSDAY,78,F,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1122A,PASSED VEHICLE ON RIGHT,2019,9,FRIDAY,51,M,NEW YORK,MTA POLICE DEPT HDQRS,RICHMOND TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,11,TUESDAY,39,M,IOWA,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,11,TUESDAY,43,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,11,THURSDAY,26,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,12,THURSDAY,45,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,12,TUESDAY,33,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,12,TUESDAY,36,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,11,TUESDAY,53,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,SUNDAY,48,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,1,MONDAY,27,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,1,MONDAY,27,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,1,FRIDAY,61,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
37530,DRIVERS VIEW OBSTRUCTED,2019,1,THURSDAY,20,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,1,SUNDAY,31,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,WEDNESDAY,55,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,3,MONDAY,35,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
37530,DRIVERS VIEW OBSTRUCTED,2019,3,MONDAY,48,M,UNKNOWN,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,1,FRIDAY,53,F,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1229C3,NO SEAT BELT ADULT,2019,6,WEDNESDAY,57,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,9,WEDNESDAY,53,F,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1229C3,NO SEAT BELT ADULT,2019,3,TUESDAY,45,F,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,2,SATURDAY,63,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,2,SATURDAY,68,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,3,MONDAY,44,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,3,TUESDAY,48,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,3,TUESDAY,39,M,MASSACHUSETTS,NYC POLICE DEPT,BRONX TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,3,TUESDAY,28,M,UNKNOWN,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,5,FRIDAY,30,F,MASSACHUSETTS,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,5,FRIDAY,23,F,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,5,THURSDAY,83,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,3,SUNDAY,32,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,1,TUESDAY,50,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1163AT,IMPROPER TURN,2019,2,THURSDAY,42,F,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1160A,IMPROPER RIGHT TURN,2019,3,SATURDAY,56,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
3752A1,NO/INADEQUATE HEADLAMPS,2019,3,SUNDAY,56,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,FRIDAY,47,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,11,FRIDAY,37,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1160B,IMPROPER LEFT TURN ON TWO-WAY RDWY,2019,8,SATURDAY,54,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,9,MONDAY,25,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,TUESDAY,65,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,WEDNESDAY,67,F,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,TUESDAY,56,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,2,THURSDAY,58,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,3,SUNDAY,28,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,WEDNESDAY,23,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
